Ö¸±ê,OSDEnhancer_v2-CogVideoX1.5-5B,Wan2.1-1.3B-baseline-two_stage
PSNR¡ü,26.385,26.4779
SSIM¡ü,0.7739,0.783
LPIPS¡ý,0.2492,0.2508
DISTS¡ý,0.1167,0.1264
CLIP-IQA¡ü,0.4068,0.3909
CLIP-IQA+¡ü,0.5637,0.5546
NIQE¡ý,4.5598,4.956
ILNIQE¡ý,31.5227,32.8837
LIQE¡ü,2.8911,3.1023
MUSIQ¡ü,65.6662,65.225
MANIQA¡ü,0.3226,0.316
BRISQUE¡ý,33.5083,30.7561
DOVER (Overall)¡ü,0.5574,0.5299
DOVER-A (Aesthetic)¡ü,0.9781,0.9728
DOVER-T (Technical)¡ü,0.1031 ,0.1062 
FasterVQA¡ü,0.7949,0.7431
MD-VQA¡ü,73.105,84.004
E-Warp (x1000)¡ý,1.5923,1.8181
