iteration,timestamp_start,timestamp_end,duration_seconds,parameter_key,prompt,negative_prompt,cfg_scale,hypothesis,parent_iteration,search_phase,inference_exit_code,evaluation_exit_code,run_status,failure_reason,metrics_json_sha256,output_video_path,composite_relative_gain,metrics_beating_osd,metrics_gain_ge_2pct,psnr_delta_db,target_met,is_best,metric_psnr,delta_vs_osdenhancer_psnr,relative_gain_psnr,metric_ssim,delta_vs_osdenhancer_ssim,relative_gain_ssim,metric_lpips,delta_vs_osdenhancer_lpips,relative_gain_lpips,metric_dists,delta_vs_osdenhancer_dists,relative_gain_dists,metric_clipiqa,delta_vs_osdenhancer_clipiqa,relative_gain_clipiqa,metric_clipiqa_plus,delta_vs_osdenhancer_clipiqa_plus,relative_gain_clipiqa_plus,metric_niqe,delta_vs_osdenhancer_niqe,relative_gain_niqe,metric_ilniqe,delta_vs_osdenhancer_ilniqe,relative_gain_ilniqe,metric_liqe,delta_vs_osdenhancer_liqe,relative_gain_liqe,metric_musiq,delta_vs_osdenhancer_musiq,relative_gain_musiq,metric_maniqa,delta_vs_osdenhancer_maniqa,relative_gain_maniqa,metric_brisque,delta_vs_osdenhancer_brisque,relative_gain_brisque,metric_dover_overall,delta_vs_osdenhancer_dover_overall,relative_gain_dover_overall,metric_dover_aesthetic,delta_vs_osdenhancer_dover_aesthetic,relative_gain_dover_aesthetic,metric_dover_technical,delta_vs_osdenhancer_dover_technical,relative_gain_dover_technical,metric_fastervqa,delta_vs_osdenhancer_fastervqa,relative_gain_fastervqa,metric_md_vqa,delta_vs_osdenhancer_md_vqa,relative_gain_md_vqa,metric_ewarp_x1000,delta_vs_osdenhancer_ewarp_x1000,relative_gain_ewarp_x1000
0,2026-07-26T05:44:28+00:00,2026-07-26T05:50:52+00:00,384.242,9bcd0e8cc569cf25c9a6c902629cbdf3dffee4150b85dfbdc12bdbfb31d791db,"A clear, natural, high-quality restored video with faithful scene structure, realistic fine details, stable edges, consistent textures across frames, natural colors, smooth motion, and strong temporal consistency.","blur, flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, ghosting, warped structures, color shifts, noise, compression artifacts, excessive smoothing, low quality",5.000000,Required cfg=5.0 original baseline.,,baseline,0,0,completed,,26a522272174757e2d1595316b880ed38fea2b0134d859544147828a8f8a76b3,results_test/UDM10,2.202610288724373,2,2,-0.05507937277517172,0,0,26.32992062722483,-0.05507937277517172,-0.0020875259721497715,0.7803345279593535,0.006434527959353509,0.008314417830925841,0.2509992021947137,0.0017992021947137171,-0.007219912498851192,0.12327302848139117,0.006573028481391172,-0.056324151511492476,0.38573899999741584,-0.02106100000258415,-0.05177236972119998,0.5482409998293847,-0.0154590001706153,-0.0274241620908556,4.924184077711498,0.36438407771149794,-0.07991229389699064,32.698242736121124,1.1755427361211233,-0.03729194314323085,3.120977794739508,0.2298777947395081,0.07951222536041926,65.47927894592286,-0.1869210540771462,-0.002846533743038979,0.3144534475380375,-0.008146552461962497,-0.025252797464235886,30.715463552167336,-2.792836447832663,0.08334760187274982,0.5398898422718048,-0.017510157728195197,-0.03141398946572515,0.9777226209640503,-0.0003773790359496987,-0.0003858286841321937,0.10412401966750622,0.001024019667506218,0.009932295514124325,0.750156324525539,-0.04474367547446101,-0.05628843310411499,83.841,10.73599999999999,0.14685726010532782,1.8809699436678784,0.28866994366787835,-0.18129117858938537
1,2026-07-26T05:50:53+00:00,2026-07-26T05:56:58+00:00,364.63,7f27ed6f223f0ed61a4abb84d89a5e0a1d8c489847657baed19102f085d5de07,"A clear, natural, high-quality restored video with faithful scene structure, realistic fine details, stable edges, consistent textures across frames, natural colors, smooth motion, and strong temporal consistency.","blur, flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, ghosting, warped structures, color shifts, noise, compression artifacts, excessive smoothing, low quality",2.000000,Smoke test: lower CFG with original text.,,smoke,0,0,completed,,e352b8eaf6b63917fc3d9cc32ca094b021600dc89085d285a658083428f9c38f,results_test/UDM10,2.2146870430271366,2,2,0.11527084965859657,0,0,26.500270849658598,0.11527084965859657,0.004368802336880673,0.7836540084323732,0.009754008432373173,0.012603706463849559,0.2503921405682641,0.0011921405682640829,-0.004783870659165661,0.12464864311679716,0.00794864311679716,-0.06811176621077258,0.3944134067623846,-0.012386593237615373,-0.030448852599841134,0.5571696061280466,-0.006530393871953422,-0.011584874706321486,4.940345896199981,0.3805458961999806,-0.08345670779419724,32.451541648220186,0.9288416482201853,-0.029465802365285503,3.106645932505207,0.21554593250520737,0.07455499031690616,65.61987740301318,-0.04632259698682617,-0.0007054252718571528,0.3183307313630658,-0.00426926863693422,-0.013233938738171793,29.698633993825602,-3.809666006174396,0.11369320455452518,0.5550887763500214,-0.0023112236499786,-0.004146436401109795,0.9810226917266845,0.0029226917266845787,0.002988131813397995,0.10416780076920987,0.00106780076920987,0.010356942475362466,0.7522045419581698,-0.04269545804183028,-0.05371173486203331,83.773,10.667999999999992,0.14592709117023447,1.8228673525785175,0.23056735257851746,-0.14480145235101266
2,2026-07-26T05:56:58+00:00,2026-07-26T06:02:52+00:00,354.08,4d9ebd35ba9ee69ba28dc3080d608b50d27898dff9cb004f93972dde759e4263,"A clear, natural, high-quality restored video with faithful scene structure, realistic fine details, stable edges, consistent textures across frames, natural colors, smooth motion, and strong temporal consistency.","blur, flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, ghosting, warped structures, color shifts, noise, compression artifacts, excessive smoothing, low quality",7.000000,Smoke test: higher CFG with original text.,,smoke,0,0,completed,,83913d21d48d2e5ff6a8282580771a90f1e6f8bdb35e107d1e0b051ad8ca4bdd,results_test/UDM10,2.19243250853161,2,2,-0.24668867541897654,0,0,26.138311324581025,-0.24668867541897654,-0.009349580269811504,0.7764669421924735,0.0025669421924734426,0.00331689131990366,0.25289567507082417,0.0036956750708241615,-0.014830156785008673,0.12256715086198625,0.005867150861986248,-0.050275500102709925,0.3789014678328268,-0.027898532167173196,-0.06858046255450638,0.5393775504442953,-0.024322449555704728,-0.0431478615499463,4.903942386943106,0.3441423869431057,-0.07547313192313385,32.534318679715646,1.011618679715646,-0.03209175228377156,3.114031284855258,0.22293128485525804,0.07710950325317632,65.28673878331338,-0.3794612166866216,-0.005778638274890607,0.3093065049138761,-0.013293495086123874,-0.041207362325244495,31.473537518901207,-2.0347624810987917,0.06072413345645084,0.5247902542352676,-0.03260974576473241,-0.058503311382727685,0.9741884708404541,-0.003911529159545846,-0.003999109661124472,0.10320630054920912,0.00010630054920912624,0.001031043154307723,0.7435738154159057,-0.051326184584094325,-0.06456936040268502,83.87499999999999,10.769999999999982,0.14732234457287438,1.9524899956983675,0.3601899956983674,-0.22620737028095672
3,2026-07-26T06:02:52+00:00,2026-07-26T06:08:48+00:00,355.052,1209d8937047e94d518d0b0f941f9def3fd8f6acf2ac6308e76d8d2c7356ad65,"Faithful video restoration preserving original structure and identity, natural fine details, stable edges, realistic colors, motion-consistent textures, temporal consistency, and minimal hallucination.","blur, flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, ghosting, warped structures, color shifts, noise, compression artifacts, excessive smoothing, low quality",5.000000,Smoke test: English fidelity wording at cfg=5.0.,,smoke,0,0,completed,,0996725e84e783cfb59f279106db020f4da9b31841f0e7b4b5ce8bb9f357b1fa,results_test/UDM10,2.218986731015057,2,2,-0.15964984770744195,0,0,26.22535015229256,-0.15964984770744195,-0.006050780659747657,0.777648439813857,0.003748439813856974,0.004843571280342388,0.25459112991248406,0.005391129912484055,-0.021633747642391874,0.12545283994367046,0.00875283994367046,-0.07500291297061233,0.38825469651529876,-0.018545303484701237,-0.045588258320307856,0.5507814913026747,-0.012918508697325248,-0.022917347343135087,4.828107175772161,0.26830717577216134,-0.058841873716426456,31.80893611617218,0.28623611617218003,-0.00908031723717131,3.17076775181678,0.2796677518167803,0.09673402919884483,65.53322859733335,-0.13297140266665508,-0.002024959608849836,0.31759985992985384,-0.005000140070146153,-0.015499504247198242,29.109213945942543,-4.399086054057456,0.13128347466321647,0.5453471571207047,-0.012052842879295311,-0.021623327734652514,0.979462057352066,0.0013620573520660706,0.001392554291039843,0.10247857347130776,-0.0006214265286922371,-0.006027415409236054,0.7449671925750112,-0.049932807424988845,-0.06281646424077096,83.611,10.506,0.14371110047192395,1.8498090930612914,0.2575090930612913,-0.161721467726742
4,2026-07-26T06:09:23+00:00,2026-07-26T06:15:20+00:00,356.5,3f8d8ef2496862b5927d5674a25bfac745780c528a1bca4ec23a494688602d1f,"A clear, natural, high-quality restored video with faithful scene structure, realistic fine details, stable edges, consistent textures across frames, natural colors, smooth motion, and strong temporal consistency.","blur, flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, ghosting, warped structures, color shifts, noise, compression artifacts, excessive smoothing, low quality",1.000000,First-batch fixed text CFG sweep.,,coarse_cfg,0,0,completed,,0a24604d9fc906533253f201c5eea91eedab89f01e53ac0d6b473e329cfd66ea,results_test/UDM10,2.216532302764695,2,2,0.13872285166094045,0,0,26.523722851660942,0.13872285166094045,0.0052576407678961695,0.7840684001362964,0.010168400136296385,0.013139165442946615,0.2504838916082536,0.0012838916082535679,-0.0051520530026226636,0.12466230277092227,0.007962302770922275,-0.06822881551775728,0.3952982544418304,-0.011501745558169574,-0.028273710811626288,0.5577574649164754,-0.005942535083524603,-0.010542017178507368,4.925544080113875,0.36574408011387494,-0.08021055311940764,32.274060439702275,0.7513604397022746,-0.023835535652157798,3.096297990891242,0.20519799089124202,0.0709757500229124,65.60663849615281,-0.05956150384719194,-0.0009070344232983169,0.3183115933931643,-0.004288406606835715,-0.013293262885417592,29.433626039566537,-4.074673960433461,0.1216019302809591,0.5602342456579208,0.0028342456579207864,0.005084760778472886,0.9811255037784576,0.003025503778457672,0.003093245862854179,0.10578212924301625,0.0026821292430162513,0.02601483261897431,0.7585520541822544,-0.0363479458177457,-0.045726438316449486,83.748,10.643,0.14558511729703852,1.809555483123404,0.21725548312340393,-0.136441300711803
5,2026-07-26T06:15:20+00:00,2026-07-26T06:22:04+00:00,403.695,1c001a08627a1238f7d703f4f8f408a9105312b52207cad0d3091b28a144d79e,"A clear, natural, high-quality restored video with faithful scene structure, realistic fine details, stable edges, consistent textures across frames, natural colors, smooth motion, and strong temporal consistency.","blur, flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, ghosting, warped structures, color shifts, noise, compression artifacts, excessive smoothing, low quality",3.500000,First-batch fixed text CFG sweep.,,coarse_cfg,0,0,completed,,33fdd5a58915554410f1bf8932109bfac11cb975fe702892a3c4bcb4076e497a,results_test/UDM10,2.2096007544945158,2,2,0.04815212495865495,0,0,26.433152124958657,0.04815212495865495,0.001824981048271933,0.7823819057124628,0.008481905712462767,0.010959950526505707,0.25044752844879703,0.001247528448797025,-0.005006133422138945,0.1240898186160672,0.007389818616067204,-0.06332321007769669,0.39109801356830903,-0.015701986431690962,-0.03859878670523835,0.5534505479758786,-0.01024945202412142,-0.018182458797447967,4.936814111366475,0.3770141113664751,-0.08268215960491142,32.618814878712485,1.0961148787124841,-0.034772239646746125,3.1153020835691883,0.22420208356918847,0.07754905868672425,65.58255566012474,-0.08364433987526354,-0.0012737807254761739,0.3170685075223446,-0.005531492477655386,-0.017146597884858606,30.16986517137097,-3.3384348286290297,0.09963008653465051,0.5475587010383606,-0.009841298961639433,-0.01765572113677688,0.9796177506446838,0.0015177506446838462,0.0015517336107594788,0.10269762277603149,-0.00040237722396850584,-0.003902785877483083,0.7576699098712735,-0.03723009012872658,-0.046836193393793656,83.598,10.492999999999995,0.1435332740578619,1.8475243413558928,0.2552243413558928,-0.1602865925741963
6,2026-07-26T06:22:05+00:00,2026-07-26T06:28:18+00:00,373.75,8734141184697f2a722f40bdc1b0410969ecd18d7afc0807df8ef90038825857,"A clear, natural, high-quality restored video with faithful scene structure, realistic fine details, stable edges, consistent textures across frames, natural colors, smooth motion, and strong temporal consistency.","blur, flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, ghosting, warped structures, color shifts, noise, compression artifacts, excessive smoothing, low quality",7.500000,First-batch fixed text CFG sweep.,,coarse_cfg,0,0,completed,,feb87ee6809d3b107f724839df3da55a3f42882b17eb4f6886471eccfae1b877,results_test/UDM10,2.1893514635954987,2,2,-0.30330225298482105,0,0,26.08169774701518,-0.30330225298482105,-0.011495253097776048,0.7753185508369335,0.0014185508369334299,0.0018329898396865613,0.25361265693941426,0.004412656939414256,-0.017707291089142277,0.12255021737467857,0.005850217374678571,-0.05013039738370669,0.37659124150391543,-0.030208758496084565,-0.07425948499529146,0.5368344898185422,-0.026865510181457775,-0.04765923395681706,4.8989766687618275,0.3391766687618274,-0.07438411087368467,32.46205429043099,0.9393542904309911,-0.02979929671097308,3.1091514218238094,0.21805142182380965,0.07542161178230074,65.22174675233902,-0.4444532476609879,-0.006768371668544668,0.3077692540662903,-0.0148307459337097,-0.04597255404125759,31.682178915700604,-1.8261210842993947,0.05449757475907148,0.532180792093277,-0.02521920790672305,-0.04524436294711706,0.9734883368015289,-0.004611663198471061,-0.004714919945272529,0.10908426530659199,0.00598426530659199,0.05804331044221135,0.7518927314165491,-0.04300726858345094,-0.054103998721161076,83.73400000000001,10.629000000000005,0.14539361192804875,1.9715138421937204,0.37921384219372034,-0.23815477120751136
7,2026-07-26T06:28:19+00:00,2026-07-26T06:34:40+00:00,381.181,92cb117a6544621b840b4089c6fe65994ec6c42f2b905ea06b34a34ab2a32de4,"A clear, natural, high-quality restored video with faithful scene structure, realistic fine details, stable edges, consistent textures across frames, natural colors, smooth motion, and strong temporal consistency.","blur, flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, ghosting, warped structures, color shifts, noise, compression artifacts, excessive smoothing, low quality",9.000000,First-batch fixed text CFG sweep.,,coarse_cfg,0,0,completed,,35befc6c51714bf5fbfec09a9ecd74027d1e7e4c921ea268415e47930404ad41,results_test/UDM10,2.1807361868118886,2,2,-0.4928320657053291,0,0,25.892167934294672,-0.4928320657053291,-0.01867849405743146,0.7714613168140082,-0.00243868318599183,-0.0031511605969657967,0.25638767656299377,0.007187676562993767,-0.02884300386434096,0.12307103141661613,0.00637103141661613,-0.05459324264452554,0.37230424712742527,-0.034495752872574725,-0.08479781925411684,0.5285985562109178,-0.0351014437890822,-0.06226972465687813,4.878854613427217,0.31905461342721697,-0.06997118589131475,32.29629782702998,0.773597827029981,-0.02454097609119717,3.0946562128682293,0.20355621286822956,0.07040787688707743,65.00442595328055,-0.6617740467194579,-0.010077848980441352,0.3031023619876754,-0.019497638012324625,-0.06043905149511663,32.27282045425907,-1.2354795457409296,0.03687085127389123,0.5163114041090011,-0.04108859589099889,-0.07371473966809991,0.9708075404167176,-0.007292459583282396,-0.0074557402957595295,0.10386199168860913,0.0007619916886091316,0.0073908020233669405,0.7569624712661145,-0.03793752873388556,-0.04772616522063852,83.64000000000001,10.53500000000001,0.14410779016483155,2.055047226555568,0.4627472265555681,-0.290615604192406
8,2026-07-26T06:34:41+00:00,2026-07-26T06:42:18+00:00,457.472,9f6a2ec35b99a79e1ef5dfa34cec13733660f0e6904121840b5e2f1e8ff29998,"Faithful restoration of the input video, preserving original structure and identity, natural fine details, stable edges, realistic colors, temporal consistency, motion-consistent textures, minimal hallucination.","flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, color shifts, ghosting, motion trails, warped structures, plastic texture, excessive smoothing, noise amplification",3.500000,English fidelity prompt with artifact-focused negative prompt.,,prompt_negative_cfg,0,0,completed,,ea840d6ddcc46d81100cc0b869ce0789c4a540033394bb8f2a1a443f2c5e72de,results_test/UDM10,2.2147536377360773,2,2,0.015354219252060375,0,0,26.400354219252062,0.015354219252060375,0.0005819298560568646,0.7828698581772298,0.008969858177229728,0.011590461528918112,0.25254183233745636,0.0033418323374563574,-0.013410242124624227,0.12794850295589816,0.01124850295589816,-0.09638820013623102,0.390702030158812,-0.016097969841187998,-0.039572197249724675,0.5551514206394073,-0.008548579360592723,-0.01516512215822729,4.942604895422231,0.38280489542223073,-0.08395212408926504,32.45504036013001,0.9323403601300129,-0.029576792601205253,3.115856017220405,0.22475601722040528,0.07774065830320823,65.25562195316438,-0.4105780468356244,-0.006252502000049102,0.31832644014108563,-0.004273559858914366,-0.013247240728190845,29.174046276461695,-4.334253723538303,0.12934866058672936,0.5448924869298934,-0.012507513070106557,-0.022439025960004588,0.9802177250385284,0.002117725038528473,0.002165141640454425,0.09892833605408669,-0.004171663945913312,-0.04046230791380516,0.749356306095939,-0.0455436939040611,-0.05729487219028947,83.692,10.586999999999989,0.1448190958210791,1.8212837876975148,0.2289837876975147,-0.14380693820103918
9,2026-07-26T06:42:19+00:00,2026-07-26T06:50:49+00:00,510.286,e7cb7993443f8743d3f5a3fa1a040c5c157d16e428abd57810290c65e258f4e9,"Faithful restoration of the input video, preserving original structure and identity, natural fine details, stable edges, realistic colors, temporal consistency, motion-consistent textures, minimal hallucination.","flickering, temporal inconsistency, unstable details, hallucinated textures, oversharpening, ringing artifacts, color shifts, ghosting, motion trails, warped structures, plastic texture, excessive smoothing, noise amplification",4.500000,English fidelity prompt with artifact-focused negative prompt.,,prompt_negative_cfg,0,0,completed,,f98e9cd19c9f6cb006b3c944f157bf0bd880f0bdb8c1cc1439652cd15b12c0ff,results_test/UDM10,2.2126115042254817,2,2,-0.054106778790877996,0,0,26.330893221209124,-0.054106778790877996,-0.002050664346821224,0.781917459457053,0.008017459457053011,0.010359813227875709,0.2533031473717382,0.004103147371738197,-0.016465278377761627,0.12837508820718335,0.011675088207183354,-0.10004360074707244,0.3882603014669111,-0.0185396985330889,-0.045574480169835056,0.5531328864635958,-0.01056711353640416,-0.0187459881788259,4.922344946212928,0.3625449462129282,-0.07950895789572529,32.45439990525767,0.9316999052576662,-0.02955647534182244,3.1163429141044614,0.22524291410446162,0.07790907063209908,65.12156562805175,-0.5446343719482485,-0.008293983387926338,0.31724025686421703,-0.005359743135782968,-0.016614206868515093,29.180482138356854,-4.327817861643144,0.12915659289319792,0.5455857366323471,-0.0118142633676529,-0.02119530564702709,0.979123568534851,0.0010235685348510826,0.0010464865911983259,0.10255468320101499,-0.0005453167989850072,-0.0052892027059651524,0.7559951455415269,-0.03890485445847314,-0.04894308020942651,83.62,10.515,0.14383421106627453,1.8214098002257135,0.22910980022571348,-0.1438860768860852
